user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
a100000029,1/1/18,House Ads,personalization,TRUE,English,English,0-18 years,1/1/18,,House Ads,TRUE
a100000030,1/1/18,House Ads,personalization,TRUE,English,English,19-24 years,1/1/18,,House Ads,TRUE
a100000031,1/1/18,House Ads,personalization,TRUE,English,English,24-30 years,1/1/18,,House Ads,TRUE
a100000032,1/1/18,House Ads,personalization,TRUE,English,English,30-36 years,1/1/18,,House Ads,TRUE
a100000033,1/1/18,House Ads,personalization,TRUE,English,English,36-45 years,1/1/18,,House Ads,TRUE
a100000034,1/1/18,House Ads,personalization,TRUE,German,German,45-55 years,1/1/18,,House Ads,TRUE
a100000035,1/1/18,House Ads,personalization,TRUE,English,English,55+ years,1/1/18,,House Ads,TRUE
a100000036,1/1/18,House Ads,personalization,TRUE,English,English,0-18 years,1/1/18,,House Ads,TRUE
a100000037,1/1/18,House Ads,personalization,TRUE,English,English,19-24 years,1/1/18,,House Ads,TRUE
a100000038,1/1/18,House Ads,personalization,TRUE,English,English,24-30 years,1/1/18,,House Ads,TRUE
a100000039,1/1/18,House Ads,personalization,TRUE,English,English,0-18 years,1/1/18,,House Ads,TRUE
a100000040,1/1/18,House Ads,personalization,TRUE,English,English,19-24 years,1/1/18,1/18/18,House Ads,FALSE
a100000041,1/1/18,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,1/1/18,2/22/18,House Ads,FALSE
a100000042,1/1/18,House Ads,personalization,TRUE,English,English,0-18 years,1/1/18,3/9/18,House Ads,FALSE
a100000043,1/1/18,House Ads,personalization,TRUE,English,English,19-24 years,1/1/18,2/18/18,House Ads,FALSE
a100000044,1/1/18,House Ads,personalization,TRUE,Arabic,Arabic,24-30 years,1/1/18,3/3/18,House Ads,FALSE
a100000045,1/2/18,House Ads,personalization,TRUE,English,English,0-18 years,1/2/18,2/4/18,House Ads,FALSE
a100000046,1/2/18,House Ads,personalization,TRUE,English,English,19-24 years,1/2/18,1/9/18,House Ads,FALSE
a100000047,1/2/18,House Ads,personalization,TRUE,English,English,24-30 years,1/2/18,2/4/18,House Ads,FALSE
a100000048,1/2/18,House Ads,personalization,TRUE,German,German,0-18 years,1/2/18,1/21/18,House Ads,FALSE
a100000049,1/2/18,House Ads,personalization,TRUE,German,German,19-24 years,1/2/18,,House Ads,TRUE
a100000050,1/2/18,House Ads,personalization,TRUE,English,English,24-30 years,1/2/18,,House Ads,TRUE
a100000050,1/1/18,House Ads,personalization,FALSE,English,English,24-30 years,1/2/18,,House Ads,TRUE
a100000051,1/2/18,House Ads,personalization,TRUE,English,English,30-36 years,1/2/18,,House Ads,TRUE
a100000051,1/1/18,Push,personalization,FALSE,English,English,30-36 years,1/2/18,,House Ads,TRUE
a100000052,1/2/18,House Ads,personalization,TRUE,English,English,36-45 years,1/2/18,,House Ads,TRUE
a100000052,1/1/18,House Ads,personalization,FALSE,English,English,36-45 years,1/2/18,,House Ads,TRUE
a100000053,1/2/18,House Ads,personalization,TRUE,English,English,45-55 years,1/2/18,,House Ads,TRUE
a100000053,1/1/18,House Ads,personalization,FALSE,English,English,45-55 years,1/2/18,,House Ads,TRUE
a100000054,1/2/18,House Ads,personalization,TRUE,English,English,55+ years,1/2/18,,House Ads,TRUE
a100000054,1/1/18,House Ads,personalization,FALSE,English,English,55+ years,1/2/18,,House Ads,TRUE
a100000055,1/2/18,House Ads,personalization,TRUE,English,English,0-18 years,1/2/18,,House Ads,TRUE
a100000055,1/1/18,Push,personalization,FALSE,English,English,0-18 years,1/2/18,,House Ads,TRUE
a100000056,1/2/18,House Ads,personalization,TRUE,English,English,19-24 years,1/2/18,,House Ads,TRUE
a100000056,1/1/18,Facebook,personalization,FALSE,English,English,19-24 years,1/2/18,,House Ads,TRUE
a100000057,1/2/18,House Ads,personalization,TRUE,English,English,24-30 years,1/2/18,,House Ads,TRUE
a100000057,1/1/18,Instagram,personalization,FALSE,English,English,24-30 years,1/2/18,,House Ads,TRUE
a100000058,1/2/18,House Ads,personalization,TRUE,English,English,0-18 years,1/2/18,,House Ads,TRUE
a100000058,1/1/18,Instagram,personalization,FALSE,English,English,0-18 years,1/2/18,,House Ads,TRUE
a100000059,1/2/18,House Ads,personalization,TRUE,English,English,19-24 years,1/2/18,2/19/18,House Ads,FALSE
a100000059,1/1/18,Facebook,personalization,FALSE,English,English,19-24 years,1/2/18,2/19/18,House Ads,FALSE
a100000060,1/2/18,House Ads,personalization,TRUE,German,German,24-30 years,1/2/18,3/8/18,House Ads,FALSE
a100000060,1/1/18,House Ads,personalization,FALSE,German,German,24-30 years,1/2/18,3/8/18,House Ads,FALSE
a100000061,1/2/18,House Ads,personalization,TRUE,English,English,0-18 years,1/2/18,2/5/18,House Ads,FALSE
a100000061,1/1/18,House Ads,personalization,FALSE,English,English,0-18 years,1/2/18,2/5/18,House Ads,FALSE
a100000062,1/3/18,House Ads,personalization,TRUE,English,English,19-24 years,1/3/18,1/11/18,House Ads,FALSE
