,user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained,DoW,channel_code,is_correct_lang
0,a100000029,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
1,a100000030,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
2,a100000031,2018-01-01,House Ads,personalization,True,English,English,24-30 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
3,a100000032,2018-01-01,House Ads,personalization,True,English,English,30-36 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
4,a100000033,2018-01-01,House Ads,personalization,True,English,English,36-45 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
5,a100000034,2018-01-01,House Ads,personalization,True,German,German,45-55 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
6,a100000035,2018-01-01,House Ads,personalization,True,English,English,55+ years,2018-01-01,,House Ads,True,0.0,1.0,Yes
7,a100000036,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
8,a100000037,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
9,a100000038,2018-01-01,House Ads,personalization,True,English,English,24-30 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
10,a100000039,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,,House Ads,True,0.0,1.0,Yes
11,a100000040,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,2018-01-18,House Ads,False,0.0,1.0,Yes
12,a100000041,2018-01-01,House Ads,personalization,True,Arabic,Arabic,24-30 years,2018-01-01,2018-02-22,House Ads,False,0.0,1.0,Yes
13,a100000042,2018-01-01,House Ads,personalization,True,English,English,0-18 years,2018-01-01,2018-03-09,House Ads,False,0.0,1.0,Yes
14,a100000043,2018-01-01,House Ads,personalization,True,English,English,19-24 years,2018-01-01,2018-02-18,House Ads,False,0.0,1.0,Yes
15,a100000044,2018-01-01,House Ads,personalization,True,Arabic,Arabic,24-30 years,2018-01-01,2018-03-03,House Ads,False,0.0,1.0,Yes
16,a100000045,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,2018-02-04,House Ads,False,1.0,1.0,Yes
17,a100000046,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,2018-01-09,House Ads,False,1.0,1.0,Yes
18,a100000047,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,2018-02-04,House Ads,False,1.0,1.0,Yes
19,a100000048,2018-01-02,House Ads,personalization,True,German,German,0-18 years,2018-01-02,2018-01-21,House Ads,False,1.0,1.0,Yes
20,a100000049,2018-01-02,House Ads,personalization,True,German,German,19-24 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
21,a100000050,2018-01-02,House Ads,personalization,True,English,English,24-30 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
22,a100000050,2018-01-01,House Ads,personalization,False,English,English,24-30 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
23,a100000051,2018-01-02,House Ads,personalization,True,English,English,30-36 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
24,a100000051,2018-01-01,Push,personalization,False,English,English,30-36 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
25,a100000052,2018-01-02,House Ads,personalization,True,English,English,36-45 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
26,a100000052,2018-01-01,House Ads,personalization,False,English,English,36-45 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
27,a100000053,2018-01-02,House Ads,personalization,True,English,English,45-55 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
28,a100000053,2018-01-01,House Ads,personalization,False,English,English,45-55 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
29,a100000054,2018-01-02,House Ads,personalization,True,English,English,55+ years,2018-01-02,,House Ads,True,1.0,1.0,Yes
30,a100000054,2018-01-01,House Ads,personalization,False,English,English,55+ years,2018-01-02,,House Ads,True,1.0,1.0,Yes
31,a100000055,2018-01-02,House Ads,personalization,True,English,English,0-18 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
32,a100000055,2018-01-01,Push,personalization,False,English,English,0-18 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
33,a100000056,2018-01-02,House Ads,personalization,True,English,English,19-24 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
34,a100000056,2018-01-01,Facebook,personalization,False,English,English,19-24 years,2018-01-02,,House Ads,True,1.0,1.0,Yes
